,unnamed: 0,unnamed: 0,mth_day,bittersweet,bittersweet_norm,bittersweet_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.188122182740772,-1.1631285453147735,
2,2,2,01-03,5.7172648986290575,-0.4296697697560335,
3,3,3,01-04,4.386205534017857,-2.274686515616032,
4,4,4,01-05,5.031027841911887,-1.3808811844645634,-1.598372593446576
5,5,5,01-06,4.327361522859544,-2.3562517627170667,-1.6281612677582966
6,6,6,01-07,4.594749789607851,-1.9856177828109864,-1.9907415798615649
7,7,7,01-08,5.0591786574607776,-1.3418605911850952,-1.804793886836184
8,8,8,01-09,4.147796477494211,-2.605151642375644,-1.7046775320187582
9,9,9,01-10,5.191100401290991,-1.1590003574637442,-1.4095978594934104
10,10,10,01-11,5.464392401652041,-0.7801830555600112,-1.0346790046580616
11,11,11,01-12,5.6046460644852925,-0.5857737275649811,-0.9540391040143068
12,12,12,01-13,6.217626938504251,0.2638953462011069,-0.5506436342661896
13,13,13,01-14,5.408237261359209,-0.8580211873225674,-0.09801101711464516
14,14,14,01-15,5.893937759479222,-0.1847788238869397,-0.12215714276298865
15,15,15,01-16,7.150370045233037,1.5567953454455223,0.1409028167463879
16,16,16,01-17,5.359873263594054,-0.925059809450072,0.3385851383394168
17,17,17,01-18,6.743329786499928,0.992586029491278,0.3826505790209467
18,18,18,01-19,7.07331642522,1.44998927575928,0.2027659232377017
19,19,19,01-20,5.598979326784301,-0.5936285432333877,-0.1354839630102315
20,20,20,01-21,5.115287410096478,-1.26408675858641,-0.4363607703849595
21,21,21,01-22,5.686218525700494,-0.472703972042077,-0.7106524811599254
22,22,22,01-23,4.05749519158221,-2.73032065369844,-1.3249532000425923
23,23,23,01-24,5.5560282042845355,-0.6531642351585174,-1.7086182123914089
24,24,24,01-25,4.414248772665877,-2.2358150375367205,-1.937950822189354
25,25,25,01-26,3.9382434813027722,-2.895618617326288,-2.2143080812073634
26,26,26,01-27,4.122596199350868,-2.640082417374082,-1.861704911847852
27,27,27,01-28,4.489975992662425,-2.1308475261501285,-1.5926509459294182
28,28,28,01-29,5.583776462320921,-0.6147016375413702,-1.4026157157115928
29,29,29,01-30,6.720657636700609,0.9611595603520836,-0.8668649833142082
30,30,30,01-31,5.2368369904315974,-1.0956036562297693,-0.4222807442843064
31,31,31,02-01,6.2572989513032375,0.3188857770580197,-0.19564822904570706
32,32,32,02-02,6.04702756089971,0.027423016805329242,-0.39669997495755976
33,33,33,02-03,5.470979549656541,-0.7710524347185329,-0.7954505050871404
34,34,34,02-04,4.7135020549978695,-1.8210121130124863,-0.7546885133462622
35,35,35,02-05,4.994622482395512,-1.4313436204253998,-0.7117145114158431
36,36,36,02-06,5.413279716868568,-0.8510317057844995,-0.7656610512158428
37,37,37,02-07,6.443316605070303,0.576729788640535,-0.7733922199035163
38,38,38,02-08,5.8135140803843095,-0.2962562219946692,-0.5401535743529179
39,39,39,02-09,5.437514342890672,-0.8174394468445741,-0.21550708790607745
40,40,40,02-10,5.723100967460793,-0.4215802397088955,0.04229133928237622
41,41,41,02-11,6.399890202407782,0.5165352982556429,-0.007843726099486617
42,42,42,02-12,6.529188322450192,0.6957588573462226,0.2448175158236465
43,43,43,02-13,6.226301507223639,0.275919396349358,0.3404127050198967
44,44,44,02-14,6.907185819323425,1.21971122954413,0.3807876840585807
45,45,45,02-15,5.85130854419632,-0.2438683116670733,0.2546694896429707
46,46,46,02-16,5.897868467211711,-0.1793303654767918,-0.10273708934883924
47,47,47,02-17,5.853973844407989,-0.24017386823801665,-0.1778951880477023
48,48,48,02-18,4.98211496929549,-1.4486806166046369,-0.4269248523957371
49,49,49,02-19,5.900971480846463,-0.17502919584382012,-0.3607969319664246
50,50,50,02-20,5.829233759949799,-0.2744667565440788,-0.4648796877496143
51,51,51,02-21,6.137550459172562,0.15289921090880124,-0.5682276196058423
52,52,52,02-22,5.4473349083463285,-0.8038269001759297,-0.393290182005184
53,53,53,02-23,5.406621051044657,-0.8602614593753851,-0.3150776230633994
54,54,54,02-24,5.739350745269675,-0.3990559910006874,0.0242768325569962
55,55,55,02-25,6.239523071480862,0.2942461578068875,0.3060045152180553
56,56,56,02-26,7.298166528466814,1.761659977178295,0.4819171477645754
57,57,57,02-27,7.357039456606313,1.8432653068751559,0.42482827644294746
58,58,58,02-28,6.208791921990873,0.25164889510319044,0.3432229301231276
59,59,59,02-29,5.1595056458595945,-1.202794687305152,0.1622734623725581
60,60,60,03-01,5.3861131044783805,-0.8886880689196064,-0.21271384829795528
61,61,61,03-02,5.4562635673774205,-0.7914506486965296,-0.4582577546492274
62,62,62,03-03,5.674993061022643,-0.4882638868447853,-0.6532534935124736
63,63,63,03-04,6.294175880851397,0.3700018687675228,-0.6437402581355669
64,64,64,03-05,5.364731601598857,-0.9183255380762868,-0.29286814771904474
65,65,65,03-06,5.2006847226281785,-1.1457152750437116,-0.4832484915687466
66,66,66,03-07,6.904901297806504,1.2165445935795267,-0.34102999556532243
67,67,67,03-08,4.632181487620706,-1.933732711794741,-0.6895438465774429
68,68,68,03-09,6.29060133021927,0.36504708917576,-0.5555169221841934
69,69,69,03-10,4.785595670528704,-1.7210812373052,-0.3938333682634541
70,70,70,03-11,5.944881759771597,-0.11416399171678886,-0.6960622238037102
71,71,71,03-12,5.900549617728107,-0.17561395151927614,-0.3514360973180646
72,72,72,03-13,5.5966707378662885,-0.5968285396620095,-0.4811088921375019
73,73,73,03-14,6.123933258365481,0.13402404711913313,-0.319745164456049
74,74,74,03-15,5.729298496734367,-0.4129896797408639,-0.2220801166717471
75,75,75,03-16,5.484076162874112,-0.7528988712164826,-0.6643307367695863
76,76,76,03-17,6.367635569698348,0.4718262949890223,-0.3834977654899296
77,77,77,03-18,3.986219580213076,-2.829117672106312,-0.3917971967178784
78,78,78,03-19,6.812286879515357,1.088169288015931,-0.2080429105402122
79,79,79,03-20,6.088008265223722,0.08422745975144046,-0.1256895423250354
80,80,80,03-21,6.524698963271232,0.6895360373251329,-0.2128587676844972
81,81,81,03-22,5.840551698012924,-0.25877866192542165,0.5696409981642074
82,82,82,03-23,5.990314071730483,-0.0511890571677487,0.5570635602053634
83,83,83,03-24,7.3733551500428245,1.8658809229859163,0.5426136461937922
84,84,84,03-25,6.757844067712695,1.0127046602628664,0.3275601414992732
85,85,85,03-26,6.0254602366291214,-0.002472024317987866,0.5850916425302063
86,86,86,03-27,5.593816416134226,-0.6007849908419806,0.6960597460780175
87,87,87,03-28,6.955304884612825,1.2864103442601769,0.439691328901247
88,88,88,03-29,6.4706516092576365,0.6146195641191184,0.39933574705109537
89,89,89,03-30,6.263636498742567,0.32767041992529394,0.3654419398756718
90,90,90,03-31,6.583160530807646,0.7705711691619564,0.3750873815627962
91,91,91,04-01,5.878747196074648,-0.20583486737052908,0.08820171136028239
92,92,92,04-02,5.635567762333982,-0.5429123407192342,0.0618972935562024
93,93,93,04-03,5.713488975615784,-0.434903676954906,0.0275109782364416
94,94,94,04-04,6.356790068236947,0.4567930572946385,0.020226043076851625
95,95,95,04-05,6.1147915829762125,0.12135252800672915,0.006766305953186279
96,96,96,04-06,6.551626894530853,0.7268615582044167,0.2701453399334888
97,97,97,04-07,5.820485256120354,-0.2865932901125212,0.2609607825897718
98,98,98,04-08,6.775632632991806,1.0373618631625812,0.15660111639114996
99,99,99,04-09,5.6737326175569365,-0.4900110210172085,0.18233890230668034
100,100,100,04-10,5.905057872440666,-0.16936493989709234,0.16547461182617842
101,101,101,04-11,6.226200396074837,0.2757792434999113,0.3098392796088871
102,102,102,04-12,6.478627974097316,0.6256758153214053,0.2251805302752664
103,103,103,04-13,6.445383463908459,0.5795947165837307,0.1982516410540919
104,104,104,04-14,6.409178004274831,0.5294093671608568,0.3714642778623984
105,105,105,04-15,5.5571679839073465,-0.6515843563442552,0.4885336739678582
106,106,106,04-16,6.654827660091763,0.8699108809527463,0.5263242141757337
107,107,107,04-17,6.732948043797405,0.9781956201326704,0.3804506062157657
108,108,108,04-18,6.642208448530233,0.8524190565686585,0.4235687419160129
109,109,109,04-19,5.813953644009778,-0.29564693117607754,0.3180649048804167
110,110,110,04-20,6.595819556782709,0.7881181813623406,0.2281298576013896
111,111,111,04-21,5.1004831198688265,-1.284607378557833,0.033416337132417505
112,112,112,04-22,6.265534000325976,0.33030059727858324,-0.11142659325231832
113,113,113,04-23,5.890109336501554,-0.1900855026811621,-0.08787336015187458
114,114,114,04-24,6.0152400289136425,-0.016638525739756427,-0.25082466962945843
115,115,115,04-25,5.915906382017917,-0.15432753257341514,0.2164552494535962
116,116,116,04-26,5.890467043503394,-0.18958967550316244,0.2915389768212416
117,117,117,04-27,7.123155207542528,1.5190721359404948,0.546709774380996
118,118,118,04-28,6.590542102285617,0.7808029614844556,0.5976146294028356
119,119,119,04-29,6.994643960686452,1.340939282677364,0.6601858545583715
120,120,120,04-30,6.235587245164233,0.28879060439128096,0.5575586944538152
121,121,121,05-01,6.186752753636028,0.22109981835980053,0.3429166755909557
122,122,122,05-02,5.4462341892689485,-0.8053526361305003,0.2648174422231808
123,123,123,05-03,6.194053821701307,0.2312200227633379,-0.033315893652837165
124,124,124,05-04,6.252481053756727,0.3122075612778064,-0.11253198212668893
125,125,125,05-05,5.704141304238492,-0.4478607325787437,-0.16764180497638495
126,126,126,05-06,5.892691767513133,-0.18650592645182965,0.04414394215998711
127,127,127,05-07,5.9482038755813935,-0.10955911873837562,-0.08802412529754694
128,128,128,05-08,6.36297189145923,0.4653618466877321,-0.025767688807949263
129,129,129,05-09,5.6219499284873296,-0.5617883819818664,0.0394545467444632
130,130,130,05-10,6.521964828305912,0.6857461802153925,0.0760198621219636
131,131,131,05-11,5.986462863458109,-0.0565273192642689,0.0208968801741838
132,132,132,05-12,6.050968722654258,0.03288596581317272,0.04261179610979208
133,133,133,05-13,5.7095980369356765,-0.4402970104250544,0.2323480608154793
134,134,134,05-14,6.456967273146772,0.5956513423013817,0.22314192737217325
135,135,135,05-15,6.443244041430902,0.5766292062522569,0.3095692437095756
136,136,136,05-16,6.482115075747073,0.6305093795555557,0.5964401557636493
137,137,137,05-17,6.360572927317151,0.4620365787601452,0.6399676964644633
138,138,138,05-18,7.292720749396365,1.7541114381376148,0.7687613913740321
139,139,139,05-19,5.89801174363504,-0.17913176622017035,1.0553579225714989
140,140,140,05-20,7.0144648268039935,1.3684135117587946,1.0081722364641226
141,141,141,05-21,7.683808380713343,2.2962083934370576,1.141872413605464
142,142,142,05-22,6.277866687726446,0.3473952629112987,0.877566303631494
143,143,143,05-23,6.9393087243774865,1.2642376416081933,1.0516840485704757
144,144,144,05-24,6.1486429292002365,0.1682747782937957,0.8039989850752828
145,145,145,05-25,6.6516993905338335,0.8655747034137182,0.4498936090991077
146,146,146,05-26,5.942333018853631,-0.1176968692123614,0.3960822787502211
147,147,147,05-27,6.1510246448154025,0.17157613758000684,0.1904750492660877
148,148,148,05-28,6.044938476065084,0.024527280817978944,0.2635854209577793
149,149,149,05-29,6.049315409626119,0.030594264703392632,0.2455951212372065
150,150,150,05-30,6.465109145917653,0.6069370084439452,0.3343916729616474
151,151,151,05-31,6.573826416310822,0.7576329050902815,0.32270256428121624
152,152,152,06-01,6.3266985764558985,0.41508244113428416,0.31047518676521896
153,153,153,06-02,6.100427063168652,0.1014414854974199,0.505913301499611
154,154,154,06-03,5.99201093906416,-0.048836984278005036,0.7082707753135286
155,155,155,06-04,6.895290602218468,1.2032229531097451,0.7733427517977486
156,156,156,06-05,7.341035538857348,1.821081851327451,0.8410754427687971
157,157,157,06-06,6.8554975627676775,1.1480647639956028,0.9197397033436168
158,158,158,06-07,6.619886915725871,0.8214785869605745,0.8673293349401384
159,159,159,06-08,6.440933893580719,0.5734270489463374,0.8101876120830468
160,160,160,06-09,5.765146943961541,-0.3632991946988756,0.8292121622451406
161,161,161,06-10,6.647946423398572,0.8603726159671953,0.9099190118313896
162,162,162,06-11,7.423385378903817,1.9352291523000145,0.8802723863020998
163,163,163,06-12,7.2048459624646295,1.6323058615130963,0.8967744109626281
164,164,164,06-13,6.491558264091368,0.6435988337848354,1.1439119688542998
165,165,165,06-14,6.512364706906598,0.6724391969095068,1.1831194767084197
166,166,166,06-15,6.8349088142003485,1.119526152651155,1.0927606455410892
167,167,167,06-16,6.817660396811756,1.0956176630919148,0.919794844530303
168,168,168,06-17,7.032257324362923,1.393076165296029,0.8942305156849623
169,169,169,06-18,6.456144630481098,0.5945110554483816,1.0046986947367298
170,170,170,06-19,6.3809002788369416,0.4902128607127916,1.0187557191397427
171,171,171,06-20,6.990538266734741,1.335248271220112,1.0224662446091892
172,172,172,06-21,6.895756177278812,1.2038682990692329,0.914158804705302
173,173,173,06-22,6.8337218109473765,1.1178808159085938,0.8928292203520217
174,174,174,06-23,6.563436759569829,0.743231525872707,0.9267977282882512
175,175,175,06-24,6.363817198568933,0.4665335493286986,0.8545863173587259
176,176,176,06-25,6.527936669780848,0.6940239083301682,0.7809802483491749
177,177,177,06-26,6.67796329971005,0.9019798056429612,0.6871277293505799
178,178,178,06-27,6.57714428066414,0.7622318850119256,0.8393855849586705
179,179,179,06-28,6.427470947634367,0.5547657019170238,0.7834636646071207
180,180,180,06-29,7.222501491629926,1.656778659521251,0.708537362762338
181,181,181,06-30,6.121753067916473,0.1310020272193996,0.6009242647341431
182,182,182,07-01,6.203610001364522,0.24446609726147145,0.6068639591636699
183,183,183,07-02,6.212148269445428,0.2563012174737915,0.4049795522742241
184,184,184,07-03,6.6028548957393385,0.7978700515890867,0.092967085865371
185,185,185,07-04,5.553592276466256,-0.6565407394196511,-0.006107813992905743
186,186,186,07-05,5.871921505120293,-0.2152961389318672,-0.003115015170412063
187,187,187,07-06,5.692896559539991,-0.4634473719302608,-0.12182563501182195
188,188,188,07-07,6.2165646574391085,0.2624228901964335,-0.2883607098105012
189,189,189,07-08,5.698296405802673,-0.4559625015746679,-0.14456556661573658
190,190,190,07-09,5.881989663450018,-0.2013403972029889,-0.18010476194074868
191,191,191,07-10,6.176025234967513,0.2062301197489365,-0.1925194947623379
192,192,192,07-11,5.718086222527059,-0.42853131088193996,-0.12628285795345398
193,193,193,07-12,5.6391580346672985,-0.5379357688597961,-0.029801446803934636
194,194,194,07-13,6.503277163120093,0.6598427110497371,-0.010350198795242618
195,195,195,07-14,6.1159267154775385,0.12292596532244812,-0.13767922232983495
196,196,196,07-15,5.966186511657844,-0.08463290915083684,-0.10151143439396113
197,197,197,07-16,5.624867671082575,-0.5577440214586176,0.10623001461758934
198,198,198,07-17,5.87464243678584,-0.21152458326669688,0.04022076492679366
199,199,199,07-18,6.538389551384512,0.7085129252095066,-0.13898382726910471
200,200,200,07-19,6.2175489273768285,0.2637872129049631,0.15555655691535766
201,201,201,07-20,5.3402200954950825,-0.952301587852942,0.015436523410161846
202,202,202,07-21,7.241136684889469,1.6826093959559374,0.294627384290535
203,203,203,07-22,5.018342825651566,-1.3984642224897923,0.19384616976762026
204,204,204,07-23,7.083150524495789,1.463620582015542,0.13285608717928915
205,205,205,07-24,6.102147073904708,0.10382563807201824,0.13360481629914828
206,206,206,07-25,5.953546703788008,-0.10215328262502366,-0.225530927356656
207,207,207,07-26,5.343461051140982,-0.9478092131337872,-0.0027239784106762497
208,208,208,07-27,5.6865784539173845,-0.4722050659788882,-0.3363965869368417
209,209,209,07-28,5.982787001761499,-0.061622528813914,-0.17086631187539633
210,210,210,07-29,5.638812250744313,-0.5384150691414509,-0.25967167725793217
211,211,211,07-30,6.818662920955745,1.0970072884406905,-0.2907626573206317
212,212,212,07-31,5.569142995305526,-0.6349854749202389,-0.07083222568164045
213,213,213,08-01,5.208880353398513,-1.1343550935099844,0.06751849663948728
214,214,214,08-02,6.638571311173355,0.8473775238550592,0.2258015995289326
215,215,215,08-03,6.581653190784916,0.7684818051128522,0.0911432588848914
216,216,216,08-04,6.323957922728478,0.4112835481952212,0.056583733686969374
217,217,217,08-05,6.235779608684096,0.2890572445764433,0.07767791873482595
218,218,218,08-06,5.419548321692624,-0.842342626107771,0.2065303735616993
219,219,219,08-07,5.300188833746327,-1.007789983222845,0.01896615389889587
220,220,220,08-08,7.1963232135405315,1.6204922528162993,-0.29335710193873904
221,221,221,08-09,5.769761011675848,-0.3569035128639683,-0.4573028966688449
222,222,222,08-10,4.972032650284077,-1.4626559868305882,-0.4027677564470377
223,223,223,08-11,5.5261223575383935,-0.6946175238041921,0.007593414167314035
224,224,224,08-12,5.655609623322013,-0.5151317847769278,0.12460445258851778
225,225,225,08-13,7.0764819115561295,1.4543770404632654,0.15145532278926432
226,226,226,08-14,7.702818253662759,2.3225584833435216,0.4640108568612353
227,227,227,08-15,5.8859879314873655,-0.19579829165948914,0.3076415864792756
228,228,228,08-16,6.324963364396264,0.4126772176012379,0.3743256963393792
229,229,229,08-17,4.8492609182706055,-1.6328331460959506,-0.0018349955518549195
230,230,230,08-18,5.94425906490314,-0.11502712561630599,-0.5126019929530019
231,231,231,08-19,5.448229335538215,-0.8025871108841394,-0.4198063003334573
232,232,232,08-20,5.491907605125818,-0.7420435010633603,-0.37371441958787305
233,233,233,08-21,6.287664206569369,0.3609758640577789,0.1345430582238566
234,234,234,08-22,6.524477096626447,0.6892285020747432,0.4443442770374125
235,235,235,08-23,7.049308837596017,1.4167117207744273,0.5584962764038776
236,236,236,08-24,7.2852674250550224,1.7437801872650296,0.859141742271618
237,237,237,08-25,5.94234871332739,-0.11767511468534902,0.8426965796814806
238,238,238,08-26,6.793284290196358,1.0618292941430818,0.9556697996336928
239,239,239,08-27,6.216479526916113,0.2623048885169545,0.5487605370803751
240,240,240,08-28,7.01349399917249,1.3670678217880166,0.3654625559601568
241,241,241,08-29,5.287957720266712,-1.0247438545454788,0.6256632867527058
242,242,242,08-30,6.49184212472041,0.6439923005437201,0.2519358942349785
243,243,243,08-31,7.068655952035935,1.4435292700699451,0.00980745728067627
244,244,244,09-01,5.175564515873417,-1.180535060963282,-0.18396350015787105
245,245,245,09-02,5.1684001829105775,-1.190465733208859,0.16981235430248529
246,246,246,09-03,6.1747352787424425,0.20444207715673274,0.16691014823689546
247,247,247,09-04,6.819315086348367,1.097911272216659,0.05027131443856192
248,248,248,09-05,6.479279609273428,0.6265790641501814,0.11113605542305176
249,249,249,09-06,6.563772040213548,0.7436962672799441,0.5050918354786786
250,250,250,09-07,5.439024184661228,-0.8153466150563431,0.23211517533803205
251,251,251,09-08,6.873680738642322,1.1732689471249025,-0.1493119898917853
252,252,252,09-09,4.993126036606923,-1.433417883687147,-0.42140495097341296
253,253,253,09-10,5.168266006163673,-1.1906517191622448,-0.6026002967002814
254,254,254,09-11,5.301495554884234,-1.0059787023395848,-0.6415648871417517
255,255,255,09-12,5.779448226476152,-0.3434758070812667,-0.936401647286942
256,256,256,09-13,5.270361705759387,-1.0491341577051656,-0.7866977433728032
257,257,257,09-14,5.597447669744223,-0.5957516137462389,-0.5888900893720718
258,258,258,09-15,5.641135710245592,-0.5351944602023145,-0.4827650845441018
259,259,259,09-16,6.024498007873943,-0.003805795157855453,-0.3677404395157393
260,260,260,09-17,5.760869211451782,-0.36922867337176457,0.10458195552292948
261,261,261,09-18,6.277344946176816,0.3466720630889084,0.19315859344521025
262,262,262,09-19,7.3148607005002715,1.7848002125268472,0.27711438609295985
263,263,263,09-20,5.980861306471746,-0.06429178621255413,0.4897651214704388
264,264,264,09-21,6.004547514288772,-0.03145970431581715,0.7705965897493322
265,265,265,09-22,6.944979905994762,1.272098617107018,0.5554623037092905
266,266,266,09-23,6.976478847198143,1.3157601363015958,0.2474899616318773
267,267,267,09-24,5.346112728176327,-0.9441336531513416,0.3266350303497878
268,268,268,09-25,5.981768832743889,-0.06303383993763169,0.4495557418638668
269,269,269,09-26,6.323449367364388,0.4105786260949086,0.16003040257365778
270,270,270,09-27,6.5366232188566125,0.706064564768657,0.4854843762313267
271,271,271,09-28,5.6917379014898,-0.4650534186342357,0.6000031811765705
272,272,272,09-29,8.385241863660774,3.26848397824761,0.4778724694276764
273,273,273,09-30,5.841819863914216,-0.25702082347987915,0.12340484931116935
274,274,274,10-01,5.453112728310901,-0.7958181104309959,-0.1619740453409371
275,275,275,10-02,4.789097618201487,-1.7162270946041338,-0.16242227137687867
276,276,276,10-03,5.301329552146759,-1.0062088031439818,-0.7964293468097053
277,277,277,10-04,5.689797706213174,-0.4677427748498851,-0.9564917457607662
278,278,278,10-05,5.6408730977569235,-0.5355584743493502,-0.6084942047016033
279,279,279,10-06,5.148972314891124,-1.217395217186244,-0.4223214014799848
280,280,280,10-07,6.9594580346974615,1.2921671359239817,-0.5466006435497324
281,281,281,10-08,5.594966899507806,-0.5991902752744227,-0.4739770040514124
282,282,282,10-09,4.763373299917907,-1.7518842555624667,-0.4890109089646011
283,283,283,10-10,6.004157049552343,-0.032000937859965016,-0.480394409945118
284,284,284,10-11,5.575797200859156,-0.6257619038284827,-0.7091289420386219
285,285,285,10-12,5.1862697705454925,-1.1656962230693446,-0.8381902914050436
286,286,286,10-13,5.96935566851724,-0.08024005663704134,-0.6759285640930929
287,287,287,10-14,5.036310774345778,-1.3735583714729542,-0.8784872733429242
288,288,288,10-15,5.465740881592798,-0.7783138916907619,-0.8806659039373118
289,289,289,10-16,5.127359587083119,-1.2473531933589528,-0.8201731579859465
290,290,290,10-17,5.5663667607467975,-0.6388336873948087,-0.5450427082706193
291,291,291,10-18,5.448119218265532,-0.8027397473611523,-0.5893507913509619
292,292,292,10-19,7.1602878237023475,1.5705426416549215,-0.4718772966384746
293,293,293,10-20,4.8445184048367285,-1.6394068699550102,-0.3627352489759672
294,294,294,10-21,5.9742377142037455,-0.07347292341583772,-0.3408135457012489
295,295,295,10-22,5.599792842575249,-0.5925009073839089,-0.26882129868301785
296,296,296,10-23,5.661257243982301,-0.5073034677464985,-0.2952193889662925
297,297,297,10-24,5.7597455103998705,-0.3707862652517663,-0.05993581492730316
298,298,298,10-25,7.046020811140269,1.4121540999552742,0.049170502022426316
299,299,299,10-26,5.862969013265687,-0.2277054257210739,0.2178575058878588
300,300,300,10-27,6.4465163054091015,0.5811649782825391,0.3416670287053947
301,301,301,10-28,6.329972934502697,0.4196211158086862,0.3974728620582628
302,302,302,10-29,6.197180265204017,0.2355536691587163,-0.019901684142632086
303,303,303,10-30,6.0013071458189895,-0.0359512651345579,-0.08571475744316373
304,304,304,10-31,5.239369572279786,-1.092093177250095,-0.03914606856931109
305,305,305,11-01,5.578089948421159,-0.6225838655242637,0.07668765421924008
306,306,306,11-02,6.6480939536194885,0.8605771115256551,-0.10017635273831377
307,307,307,11-03,6.831371835520081,1.1146234525399932,-0.1354969599489392
308,308,308,11-04,5.431605123671802,-0.8256303725866067,0.28163057946410724
309,309,309,11-05,5.848418045716401,-0.24787490839831075,0.5281045689373461
310,310,310,11-06,7.044951615322424,1.4106720592281836,0.5803592064273472
311,311,311,11-07,6.644979490397158,0.8562600713151703,0.5687531814698894
312,312,312,11-08,6.8742838504803165,1.1741049364656615,0.8118194604475251
313,313,313,11-09,6.781133890828687,1.0449873027952463,0.5361436365607938
314,314,314,11-10,6.483744019149113,0.6327673012792074,0.3576968223631431
315,315,315,11-11,4.655125178956095,-1.9019298517186984,0.2551248674440835
316,316,316,11-12,6.272525120042772,0.3399911740422797,0.022159321109284463
317,317,317,11-13,6.2009855978283825,0.2408283418008129,-0.3399689265116823
318,318,318,11-14,5.865867077755063,-0.22368834154313247,-0.3838532072552942
319,319,319,11-15,5.213622280104128,-1.127782182930554,-0.30643623350460697
320,320,320,11-16,6.293786124271198,0.3694616168175363,-0.20515424212178374
321,321,321,11-17,4.990232992330482,-1.4374280092145746,0.07989796811484427
322,322,322,11-18,6.710935264771532,0.9476831223392188,0.2511278731525112
323,323,323,11-19,7.434865175420168,1.951141603220581,0.5939612792209336
324,324,324,11-20,6.607054394715602,0.8036910886828693,0.7655980073430505
325,325,325,11-21,6.697614065022773,0.9292182534799794,0.9761921282508292
326,326,326,11-22,7.036734419317749,1.3992819855502383,0.8087231268894882
327,327,327,11-23,5.901812610440785,-0.17386328376790286,0.471786887201727
328,328,328,11-24,5.986027429508948,-0.05713088582882641,0.3397938058605832
329,329,329,11-25,5.97639991827943,-0.07047583490598627,0.003160662705213109
330,330,330,11-26,6.035707947989048,0.011732600636006077,-0.078955665775783
331,331,331,11-27,5.240460794275847,-1.0905806054522411,0.021166726581356918
332,332,332,11-28,6.681284936518053,0.9065840146642616,0.361069417213962
333,333,333,11-29,6.335203304330001,0.4268710703749367,0.4876790914417795
334,334,334,11-30,7.457333293062566,1.982285257966804,0.40352683083935537
335,335,335,12-01,6.5244437002433395,0.6891822104609191,0.7247939472650448
336,336,336,12-02,5.671445710978787,-0.4931809629785388,0.5414203011961071
337,337,337,12-03,6.631100542623688,0.8370220931018952,0.4249028307739292
338,338,338,12-04,5.887532112201474,-0.19365786174936525,0.37981205454052985
339,339,339,12-05,5.830844727116253,-0.27223375215813017,0.26967052294941585
340,340,340,12-06,7.262152950886067,1.7117406005664082,0.3975597721638063
341,341,341,12-07,6.047684069570272,0.028333020914235143,0.08034628636329437
342,342,342,12-08,6.225028272812597,0.274154532307804,0.07125319375352661
343,343,343,12-09,5.258007376494434,-1.0662588217011764,0.15392102618888734
344,344,344,12-10,5.848171669217961,-0.24821641740797185,0.11358880834508404
345,345,345,12-11,6.188681454925157,0.22377324245403435,-0.04716114432788901
346,346,346,12-12,7.087570547630394,1.4697472935035882,-0.0332664553669279
347,347,347,12-13,5.35186036928261,-0.9361666951236032,0.20856215767503805
348,348,348,12-14,6.285172949227098,0.3575226660735707,0.3638074545428071
349,349,349,12-15,6.304788899998952,0.3847128565506193,0.10829558820801084
350,350,350,12-16,6.520167866557743,0.6832553637986422,-0.4437844390748819
351,351,351,12-17,5.082670477353176,-1.3092979555547433,-0.21731581756918947
352,352,352,12-18,4.697831943971795,-1.8427328701937684,-0.4201784524892525
353,353,353,12-19,6.332154494380862,0.42264503391055136,-0.6074217373673194
354,354,354,12-20,5.4070599113505,-0.8596531434468071,-0.6925197826139717
355,355,355,12-21,5.494285922104273,-0.7387468527177824,-0.4176905958568109
356,356,356,12-22,6.151811697575005,0.1726670923187285,0.031147843565159837
357,357,357,12-23,6.27229858297046,0.339677164988222,-0.07111526431128679
358,358,358,12-24,6.640678075847795,0.8502977663380554,-0.03945579976775648
359,359,359,12-25,5.889497479916499,-0.1909336133481284,-0.2610612520981954
360,360,360,12-26,5.544101356162753,-0.6696963561856252,-0.7405066084762829
361,361,361,12-27,4.535042555120608,-2.068379566700416,-1.0994415869143108
362,362,362,12-28,4.076480187901547,-2.704005045949797,-1.51463971293211
363,363,363,12-29,4.718609386137417,-1.8139327056399448,
364,364,364,12-30,4.843447709093342,-1.6408909897687385,
365,365,365,12-31,,,
